,Summary,Safety Issues,Location,Title,Date Occurred,Decision Events,Skill Based Events,Routine Violation,Physical Environment,Technical Environment,Communications,Awareness Cognitive Factors,Inadequate Supervision,Planned Inappropriate Operations,Organizational Processes,Resource Management,Overall Info
681,"on 28 september 2000, the rib atlantic eagle capsized during a ‘white-water’ adventure trip in confused water in the vicinity of horse rock, between ramsey island and the pembrokeshire coast. the twelve passengers and two crew were quickly recovered by another rib in close proximity. although many of the passengers were shaken and sustained minor injuries, none were seriously injured.",the rib was being operated in an area of very turbulent and confused water which was too severe for the coxswain to maintain control,"Off St Justians, Ramsey Sound, Wales",Capsize of rigid inflatable boat Atlantic Eagle,28 September 2000,0,0,0,1,0,0,0,0,0,0,0,"Summary: on 28 september 2000, the rib atlantic eagle capsized during a ‘white-water’ adventure trip in confused water in the vicinity of horse rock, between ramsey island and the pembrokeshire coast. the twelve passengers and two crew were quickly recovered by another rib in close proximity. although many of the passengers were shaken and sustained minor injuries, none were seriously injured. Safety Issues: the rib was being operated in an area of very turbulent and confused water which was too severe for the coxswain to maintain control"
682,"about 2041 local time on january 24, 2018, the towing vessel george king was pushing 30 empty barges upbound on the lower mississippi river at mile 393.6 when a fire began in the engine room and quickly spread. the crew abandoned the vessel after unsuccessfully trying to extinguish the fire. no pollution or injuries were reported. the estimated property damage exceeded $500,000.","the probable cause of the engine room fire aboard the towing vessel george king was the ignition of oil spraying from the pressurized lube oil strainer on the port main diesel engine. contributing to the severity of the fire was the fixed-open engine room ventilation system and the inability of the crew to close all engine room windows and doors, which allowed the fire to spread and would have limited the effectiveness of the halon fixed firefighting system had it been activated.​","St. Joseph, LA",Engine Room Fire aboard Towing Vessel George King,1/24/2018,0,1,0,0,1,0,0,0,0,0,1,"Summary: about 2041 local time on january 24, 2018, the towing vessel george king was pushing 30 empty barges upbound on the lower mississippi river at mile 393.6 when a fire began in the engine room and quickly spread. the crew abandoned the vessel after unsuccessfully trying to extinguish the fire. no pollution or injuries were reported. the estimated property damage exceeded $500,000. Safety Issues: the probable cause of the engine room fire aboard the towing vessel george king was the ignition of oil spraying from the pressurized lube oil strainer on the port main diesel engine. contributing to the severity of the fire was the fixed-open engine room ventilation system and the inability of the crew to close all engine room windows and doors, which allowed the fire to spread and would have limited the effectiveness of the halon fixed firefighting system had it been activated.​"
683,"on may 9, 2022, about 0727 local time, the cruise ship radiance of the seas was maneuvering in sitka sound toward the pier at the sitka sound cruise terminal near sitka, alaska, when the vessel struck and damaged a mooring dolphin. no pollution or injuries were reported. damage to the pier was estimated at $2.1 million.","​​​we determined that the probable cause of the contact of the cruise ship radiance of the seas with the sitka sound cruise terminal pier was the master and bridge team’s overreliance on an electronic chart to identify the pier’s position relative to their planned rotation location, and the master’s misunderstanding of the clearance distances to the pier being called by the crewmember on the stern while the vessel was rotating. contributing was the sitka sound cruise terminal not reporting the extension of the pier into the waterway to the appropriate hydrographic authority in order to update the relevant navigational chart.​​","Sitka, AK",Contact of Cruise Ship Radiance of the Seas with Sitka Sound Cruise Terminal Pier,5/9/2022,0,0,0,0,1,1,0,0,0,0,0,"Summary: on may 9, 2022, about 0727 local time, the cruise ship radiance of the seas was maneuvering in sitka sound toward the pier at the sitka sound cruise terminal near sitka, alaska, when the vessel struck and damaged a mooring dolphin. no pollution or injuries were reported. damage to the pier was estimated at $2.1 million. Safety Issues: ​​​we determined that the probable cause of the contact of the cruise ship radiance of the seas with the sitka sound cruise terminal pier was the master and bridge team’s overreliance on an electronic chart to identify the pier’s position relative to their planned rotation location, and the master’s misunderstanding of the clearance distances to the pier being called by the crewmember on the stern while the vessel was rotating. contributing was the sitka sound cruise terminal not reporting the extension of the pier into the waterway to the appropriate hydrographic authority in order to update the relevant navigational chart.​​"
684,"at 1030, on 21 march 2004, dart 8, a bermudan registered roll on/roll off cargo vessel, was making fast at her usual berth on the river thames when a mooring line parted, sprang back and seriously injured the vessel’s bosun. the wind had been blowing off the berth at a speed of about 25 knots, with occasional stronger gusts. the vessel had been stemming a strong flood tide.","detailed analysis of the rope has shown that the estimated residual minimum breaking load, prior to it parting, had reduced from 770kn to 94.2kn, less than half that required to render the winch. visual inspection of the rope indicated severe deterioration, caused by abrasion, over a length of about 6 metres in the vicinity of where it passed around a roller fairlead. the ad hoc inspections of mooring ropes which had been carried out, had not identified the abrasion, and the consequent dangerous condition of the rope that failed.","Berthing at Europort Terminal, River Thames, England",Parting of mooring line on ro-ro cargo vessel Dart 8 with 1 person injured,21 March 2004,0,0,0,0,1,0,0,0,0,0,0,"Summary: at 1030, on 21 march 2004, dart 8, a bermudan registered roll on/roll off cargo vessel, was making fast at her usual berth on the river thames when a mooring line parted, sprang back and seriously injured the vessel’s bosun. the wind had been blowing off the berth at a speed of about 25 knots, with occasional stronger gusts. the vessel had been stemming a strong flood tide. Safety Issues: detailed analysis of the rope has shown that the estimated residual minimum breaking load, prior to it parting, had reduced from 770kn to 94.2kn, less than half that required to render the winch. visual inspection of the rope indicated severe deterioration, caused by abrasion, over a length of about 6 metres in the vicinity of where it passed around a roller fairlead. the ad hoc inspections of mooring ropes which had been carried out, had not identified the abrasion, and the consequent dangerous condition of the rope that failed."
685,"on may 23, 2019, two loaded barges, the mtc 7256 and ltd 11140, struck the webbers falls dam. the barges had broken away the previous day from a fleeting area on the grand river in muskogee, oklahoma, during historic flood waters and high river current. the two barges were total constructive losses. no pollution was reported. total damages exceeded $4.7 million, including the amount spent to remove the barges and repair the dam ($3,956,249).","the ​​​probable cause of the barge breakaway and contact with the webbers falls dam was the force of the river current acting on the moored vessels at the grand river fleeting area, which exceeded the capacity of the mooring wires, due to the extreme rise and flow of water in the grand river as the fort gibson dam released major amounts of water in a short period of time.","Webbers Falls, OK",Barge Breakaway and Contact with Webbers Falls Dam,5/23/2019,0,0,0,1,1,0,0,0,0,0,0,"Summary: on may 23, 2019, two loaded barges, the mtc 7256 and ltd 11140, struck the webbers falls dam. the barges had broken away the previous day from a fleeting area on the grand river in muskogee, oklahoma, during historic flood waters and high river current. the two barges were total constructive losses. no pollution was reported. total damages exceeded $4.7 million, including the amount spent to remove the barges and repair the dam ($3,956,249). Safety Issues: the ​​​probable cause of the barge breakaway and contact with the webbers falls dam was the force of the river current acting on the moored vessels at the grand river fleeting area, which exceeded the capacity of the mooring wires, due to the extreme rise and flow of water in the grand river as the fort gibson dam released major amounts of water in a short period of time."
686,"while on passage from gibraltar to belfast, a united kingdom registered general cargo ship suffered an accommodation fire. the fire, which started after a crew member fell asleep in bed while holding a lit cigarette, caused an electrical failure of the ship’s steering gear, and resulted in heat, smoke and water damage to the majority of the accommodation spaces. one crew member was injured and the ship was subsequently towed to cadiz for repair.","celtic carrier’s crew were ill-prepared for the emergency; there was a lack of leadership, and sub-standard fire-fighting techniques resulted in crew members being unnecessarily exposed to dangerthe records of some emergency drills recorded in the ship’s official log book were falsified, which calls into question the validity of other records and demonstrates that a complacent approach to safety existed on boardthe ship owners need to involve its crews in the application of the sms to ensure its success was not fully recognisedthe lack of a national database for international safety management code audits constrained the maritime and coastguard’s ability to conduct fleet performance trend analysis, and to ensure that a consistent approach to auditing was carried out","Off Cape Trafalgar, Spain",Fire in accommodation area on general cargo vessel Celtic Carrier with 1 person injured,26 April 2013,1,1,0,0,0,0,0,1,0,0,1,"Summary: while on passage from gibraltar to belfast, a united kingdom registered general cargo ship suffered an accommodation fire. the fire, which started after a crew member fell asleep in bed while holding a lit cigarette, caused an electrical failure of the ship’s steering gear, and resulted in heat, smoke and water damage to the majority of the accommodation spaces. one crew member was injured and the ship was subsequently towed to cadiz for repair. Safety Issues: celtic carrier’s crew were ill-prepared for the emergency; there was a lack of leadership, and sub-standard fire-fighting techniques resulted in crew members being unnecessarily exposed to dangerthe records of some emergency drills recorded in the ship’s official log book were falsified, which calls into question the validity of other records and demonstrates that a complacent approach to safety existed on boardthe ship owners need to involve its crews in the application of the sms to ensure its success was not fully recognisedthe lack of a national database for international safety management code audits constrained the maritime and coastguard’s ability to conduct fleet performance trend analysis, and to ensure that a consistent approach to auditing was carried out"
687,"on 22 november 1990 at 0217 hrs trenchant had a close sonar contact to starboard and turned to port to avoid it. banging noises were then heard in the submarine and it was assumed by those in the control room that a fishing trawl had been snagged. on regaining periscope depth, two fishing vessels were seen, apparently engaged in normal fishing. trenchant surfaced at about 0300 hrs and a trawl wire was discovered fouled on the submarine casing. attempts by the submarine to contact the two fishing vessels by radio were unsuccessful. since everything on the surface appeared normal, trenchant reported the incident to faslane base and continued with her exercises.","the main findings of the investigation are that the accident was caused by a partial breakdown in both the structure and the standards of watchkeeping on board trenchant, following the completion of a command course exercise. also the stowage position and securing arrangements of the inflatable liferaft on antares were deficient, such that it failed to float free and inflate when the vessel sank.","Off the Isle of Arran, Scotland",Collision between pelagic trawler Antares and trafalgar-class submarine HMS Trenchant with loss of 4 lives,22 November 1990,0,1,0,0,1,0,1,0,0,1,0,"Summary: on 22 november 1990 at 0217 hrs trenchant had a close sonar contact to starboard and turned to port to avoid it. banging noises were then heard in the submarine and it was assumed by those in the control room that a fishing trawl had been snagged. on regaining periscope depth, two fishing vessels were seen, apparently engaged in normal fishing. trenchant surfaced at about 0300 hrs and a trawl wire was discovered fouled on the submarine casing. attempts by the submarine to contact the two fishing vessels by radio were unsuccessful. since everything on the surface appeared normal, trenchant reported the incident to faslane base and continued with her exercises. Safety Issues: the main findings of the investigation are that the accident was caused by a partial breakdown in both the structure and the standards of watchkeeping on board trenchant, following the completion of a command course exercise. also the stowage position and securing arrangements of the inflatable liferaft on antares were deficient, such that it failed to float free and inflate when the vessel sank."
688,"on the 19 november 1997 refrigerated cargo vessel green lily grounded off the east coast of bressay, shetland islands, scotland. the vessel had suffered flooding and main engine failure during heavy weather. the ship’s crew were rescued but a helicopter winchman was swept into the sea and lost.","the cause of the grounding was the lack of propulsion and failure to restart the main engine to arrest the drift of the vessel towards the shore in the prevailing environmental conditions. contributory causes included flooding of the engine room, failure to reset the mechanical over-speed trip, inadequate knowledge of the cooling water system, failure of towage attempts and inadequate teamwork.","Off Shetland Islands, Scotland","Flooding, engine failure and grounding of refrigerated cargo vessel Green Lily with loss of 1 life during rescue",19 November 1997,0,0,0,1,1,1,0,0,0,0,1,"Summary: on the 19 november 1997 refrigerated cargo vessel green lily grounded off the east coast of bressay, shetland islands, scotland. the vessel had suffered flooding and main engine failure during heavy weather. the ship’s crew were rescued but a helicopter winchman was swept into the sea and lost. Safety Issues: the cause of the grounding was the lack of propulsion and failure to restart the main engine to arrest the drift of the vessel towards the shore in the prevailing environmental conditions. contributory causes included flooding of the engine room, failure to reset the mechanical over-speed trip, inadequate knowledge of the cooling water system, failure of towage attempts and inadequate teamwork."
689,"about 0230 local time on october 26, 2017, the towing vessel cooperative venture, with a crew of 10, was pushing 12 barges downbound on the mississippi river near st. paul, minnesota. as the vessel approached the st. paul union pacific rail bridge at mile 835.7, the lead barge on the port side struck a fixed pier of the swing bridge. there were no reported injuries or pollution. damages to the bridge and barge were estimated at $800,000 and $153,000, respectively.",​​the probable cause of the allision of the towing vessel cooperative venture with the st. paul union pacific rail bridge was the operating company’s assignment of an inexperienced pilot who incorrectly positioned the tow prior to maneuvering through a turn with a following current when approaching the bridge span.​,"St. Paul, MN",Allision of Cooperative Venture Tow with St. Paul Union Pacific Rail Bridge,10/26/2017,0,1,0,0,0,0,0,0,1,0,0,"Summary: about 0230 local time on october 26, 2017, the towing vessel cooperative venture, with a crew of 10, was pushing 12 barges downbound on the mississippi river near st. paul, minnesota. as the vessel approached the st. paul union pacific rail bridge at mile 835.7, the lead barge on the port side struck a fixed pier of the swing bridge. there were no reported injuries or pollution. damages to the bridge and barge were estimated at $800,000 and $153,000, respectively. Safety Issues: ​​the probable cause of the allision of the towing vessel cooperative venture with the st. paul union pacific rail bridge was the operating company’s assignment of an inexperienced pilot who incorrectly positioned the tow prior to maneuvering through a turn with a following current when approaching the bridge span.​"
690,"while on passage from hull to zeebrugge, with 487 passengers and 124 crew on board, the passenger ro-ro ferry norsea suffered a fire in her aft engine room during the early hours of 2 september 2002. norsea was about 7 miles off the east anglian coast.","the bridge watchkeeping second officer was not fully conversant with correct emergency procedure because of weaknesses in his induction trainingalthough effective in extinguishing the fire, the carbon dioxide smothering system malfunctioned and discharged too much gas into the aft engine roomthe acceptance of a watch alarm as a substitute for a second machinery space watchkeeper might place personnel at risk","Off Norfolk, England",Fire in engine room of ro-ro passenger ferry Norsea,2 September 2002,0,0,0,1,1,0,0,0,0,0,1,"Summary: while on passage from hull to zeebrugge, with 487 passengers and 124 crew on board, the passenger ro-ro ferry norsea suffered a fire in her aft engine room during the early hours of 2 september 2002. norsea was about 7 miles off the east anglian coast. Safety Issues: the bridge watchkeeping second officer was not fully conversant with correct emergency procedure because of weaknesses in his induction trainingalthough effective in extinguishing the fire, the carbon dioxide smothering system malfunctioned and discharged too much gas into the aft engine roomthe acceptance of a watch alarm as a substitute for a second machinery space watchkeeper might place personnel at risk"
691,"​on june 26, 2022, about 0930 local time, a fire broke out in a stateroom on board the towing vessel mary dupre, which was pushing one barge of bio-diesel fuel (pyrolysis fuel oil) on the gulf intracoastal waterway near freeport, texas. nearby good samaritan towing vessels retrieved the barge from the mary dupre, extinguished the fire, and evacuated the four crewmembers. there were no injuries, and no pollution was reported. the towing vessel was deemed a total constructive loss estimated at $1 million.","we determined that the probable cause of the fire aboard the towing vessel mary dupre was undetected cracks in the starboard muffler that allowed exhaust gases from an operating engine to escape and ignite wooden structures affixed to the common bulkhead of an accommodation space. contributing to the extent of the fire damage was the substantial use of combustible materials in the joinery, outfitting, and furnishings in the accommodation spaces.​", ,Fire aboard Towing Vessel Mary Dupre,6/27/2022,0,0,0,0,1,0,0,0,0,0,0,"Summary: ​on june 26, 2022, about 0930 local time, a fire broke out in a stateroom on board the towing vessel mary dupre, which was pushing one barge of bio-diesel fuel (pyrolysis fuel oil) on the gulf intracoastal waterway near freeport, texas. nearby good samaritan towing vessels retrieved the barge from the mary dupre, extinguished the fire, and evacuated the four crewmembers. there were no injuries, and no pollution was reported. the towing vessel was deemed a total constructive loss estimated at $1 million. Safety Issues: we determined that the probable cause of the fire aboard the towing vessel mary dupre was undetected cracks in the starboard muffler that allowed exhaust gases from an operating engine to escape and ignite wooden structures affixed to the common bulkhead of an accommodation space. contributing to the extent of the fire damage was the substantial use of combustible materials in the joinery, outfitting, and furnishings in the accommodation spaces.​"
692,"at about 1100 on 30 march 2014, the owner/skipper of the 9.98m scallop dredger ronan orla was fatally injured when he became entangled on the starboard warping drum of the vessel’s winch. the skipper was operating the vessel single-handedly and was attempting to recover his dredge gear on board when the accident happened. about 4 hours later, the crew of another scallop dredger noticed that ronan orla appeared to be in trouble. they came alongside ronan orla and a crewman climbed on board and stopped the winch. it was apparent that ronan orla’s skipper was deceased.",ronan orla’s skipper became entangled on the vessel’s rotating winch drum and was unable to free himself or stop the winchthe skipper was operating single-handedly. there was no-one on board to help him or raise the alarmthe vessel’s winch had not been properly maintained. it was in a poor state of repair and was not fitted with emergency stops,"3 miles north-east of Porth Dinllaen, north Wales",Accident to skipper of scallop dredger Ronan Orla with loss of 1 life,30 March 2014,0,0,0,0,1,1,0,0,0,1,0,"Summary: at about 1100 on 30 march 2014, the owner/skipper of the 9.98m scallop dredger ronan orla was fatally injured when he became entangled on the starboard warping drum of the vessel’s winch. the skipper was operating the vessel single-handedly and was attempting to recover his dredge gear on board when the accident happened. about 4 hours later, the crew of another scallop dredger noticed that ronan orla appeared to be in trouble. they came alongside ronan orla and a crewman climbed on board and stopped the winch. it was apparent that ronan orla’s skipper was deceased. Safety Issues: ronan orla’s skipper became entangled on the vessel’s rotating winch drum and was unable to free himself or stop the winchthe skipper was operating single-handedly. there was no-one on board to help him or raise the alarmthe vessel’s winch had not been properly maintained. it was in a poor state of repair and was not fitted with emergency stops"
693,"at 0020 bst on 2 april 2002, the swedish registered ro-ro vessel stena gothica struck the eastern jetty, during a spring ebb tide, while approaching immingham lock. a 3- metre gash was sustained in the port side shell plating below the waterline, leading to a large ingress of water into the lower cargo hold.","the master’s decision to take over the conduct of the navigation just before the approach to the lock entrancethe master under-estimating the strength of the tidal currenta missing fender on the eastern approach jetty at the position the vessel impacted, which had not been replaced by temporary fendering","Eastern approach jetty at the Port of Immingham, England",Contact by ro-ro cargo ferry Stena Gothica with jetty resulting in vessel flooding and listing,2 April 2002,1,0,0,1,0,0,0,0,0,0,0,"Summary: at 0020 bst on 2 april 2002, the swedish registered ro-ro vessel stena gothica struck the eastern jetty, during a spring ebb tide, while approaching immingham lock. a 3- metre gash was sustained in the port side shell plating below the waterline, leading to a large ingress of water into the lower cargo hold. Safety Issues: the master’s decision to take over the conduct of the navigation just before the approach to the lock entrancethe master under-estimating the strength of the tidal currenta missing fender on the eastern approach jetty at the position the vessel impacted, which had not been replaced by temporary fendering"
694,"​​​on january 12, 2021, about 2359 local time, the towing vessel robert cenac was pushing one empty barge when the barge struck the csx railway rigolets swing bridge, located about 11 miles southeast of slidell, louisiana.1 no pollution or injuries were reported. damages to the bridge and barge were estimated at $1.1 million and $5,000, respectively.",we determinded that the probable cause of the contact of the robert cenac tow with the csx rigolets railway swing bridge was the poor communication between the bridge operator and vessel operator. contributing to the accident was the absence of bridge span navigation lighting that would have provided the vessel operator with a visual indication of the bridge’s opening status.​,"New Orleans, LA",Contact of Robert Cenac Tow with CSX Railway Rigolets Bridge,1/13/2021,0,1,0,0,1,1,0,0,0,0,0,"Summary: ​​​on january 12, 2021, about 2359 local time, the towing vessel robert cenac was pushing one empty barge when the barge struck the csx railway rigolets swing bridge, located about 11 miles southeast of slidell, louisiana.1 no pollution or injuries were reported. damages to the bridge and barge were estimated at $1.1 million and $5,000, respectively. Safety Issues: we determinded that the probable cause of the contact of the robert cenac tow with the csx rigolets railway swing bridge was the poor communication between the bridge operator and vessel operator. contributing to the accident was the absence of bridge span navigation lighting that would have provided the vessel operator with a visual indication of the bridge’s opening status.​"
695,"at 1212, on 22 february 2004, the starboard outer bow door on the p&o cross-channel ro-ro passenger ferry pride of provence failed as it was being closed prior to departure from the port of calais. the vessel was rendered unseaworthy and the passengers and vehicles were disembarked.","cracks in the hinge of the bow door had been discovered 6 days earlier and had been inspected by the company technical department, a class surveyor and a ship repair yard. daily inspections were carried out by ship’s staff, but the vessel continued to operate without a detailed examination of the cracks and without any operational limitations particularly with regard to weather conditionsthe vessel had suffered previous cracking to the starboard bow door support structure, and that the starboard door made contact with the “cowcatcher” framework when openedneither the vessel owner nor the classification society for the vessel had carried out effective investigations into the cause of the crackingearly in the investigation, maib was advised that hydraulically operated locking wedges had been removed from the door structure some years before the incident by a previous owner, but neither lloyd’s register nor p&o ferries had been aware of this fact prior to the incident","Port of Calais, France",Failure of starboard outer bow door on ro-ro passenger ferry Pride of Provence before departure from port,22 February 2004,0,0,0,1,1,1,1,1,1,0,0,"Summary: at 1212, on 22 february 2004, the starboard outer bow door on the p&o cross-channel ro-ro passenger ferry pride of provence failed as it was being closed prior to departure from the port of calais. the vessel was rendered unseaworthy and the passengers and vehicles were disembarked. Safety Issues: cracks in the hinge of the bow door had been discovered 6 days earlier and had been inspected by the company technical department, a class surveyor and a ship repair yard. daily inspections were carried out by ship’s staff, but the vessel continued to operate without a detailed examination of the cracks and without any operational limitations particularly with regard to weather conditionsthe vessel had suffered previous cracking to the starboard bow door support structure, and that the starboard door made contact with the “cowcatcher” framework when openedneither the vessel owner nor the classification society for the vessel had carried out effective investigations into the cause of the crackingearly in the investigation, maib was advised that hydraulically operated locking wedges had been removed from the door structure some years before the incident by a previous owner, but neither lloyd’s register nor p&o ferries had been aware of this fact prior to the incident"
696,"on 14 march 2001, the 2,198gt uk registered research vessel marine explorer was berthed port side alongside parkeston quay, harwich, uk. the vessel’s port lifeboat had been returned, by lorry, to the quayside following repairs to its suspension hooks. while the lifeboat was still on the lorry, two crewmen climbed into the lifeboat to secure lifting gear and remained inside while a mobile crane lifted it from the lorry and suspended it vertically beneath the heads of the davit’s arms on the port side of the vessel. welded repairs had recently been made to these davit arms. the davits winch was then used to hoist the lifeboat and this continued until the lifeboat had almost reached its fully stowed position, at which point the winch motor’s limit switch shut off power, as designed. the winch then began to run out, the davit arms swung out and then the lifeboat was lowered until it struck the edge of the quayside despite efforts to apply the winch’s brake, the lifeboat continued into the water. the two crewmen in the lifeboat were slightly injured.",the winch ran away because its hand-operated brake had been assembled incorrectlyno risk assessment was undertaken before the operations began,"Harwich, England",Failure of lifeboat winch brake on research vessel Marine Explorer with 2 people injured,14 March 2001,1,0,0,0,1,0,0,0,0,0,0,"Summary: on 14 march 2001, the 2,198gt uk registered research vessel marine explorer was berthed port side alongside parkeston quay, harwich, uk. the vessel’s port lifeboat had been returned, by lorry, to the quayside following repairs to its suspension hooks. while the lifeboat was still on the lorry, two crewmen climbed into the lifeboat to secure lifting gear and remained inside while a mobile crane lifted it from the lorry and suspended it vertically beneath the heads of the davit’s arms on the port side of the vessel. welded repairs had recently been made to these davit arms. the davits winch was then used to hoist the lifeboat and this continued until the lifeboat had almost reached its fully stowed position, at which point the winch motor’s limit switch shut off power, as designed. the winch then began to run out, the davit arms swung out and then the lifeboat was lowered until it struck the edge of the quayside despite efforts to apply the winch’s brake, the lifeboat continued into the water. the two crewmen in the lifeboat were slightly injured. Safety Issues: the winch ran away because its hand-operated brake had been assembled incorrectlyno risk assessment was undertaken before the operations began"
697,"at 2250 utc on 1 january 2002, mv willy grounded in cawsand bay, plymouth sound, after dragging her anchor.","the ship was exposed to strong south-easterly winds in cawsand bay which, together with pitching owing to her light condition and the swell, increased the loading on her cable and anchorthe oow did not start the main engine until ordered to do so by the masterthe overall speed at which the anchor was dragged, limited the time available in which to take corrective action to about 16 minutes","Cawsand Bay, Plymouth Sound, England",Dragging anchor and grounding of tanker Willy,1 January 2002,1,0,0,1,0,1,0,0,0,0,0,"Summary: at 2250 utc on 1 january 2002, mv willy grounded in cawsand bay, plymouth sound, after dragging her anchor. Safety Issues: the ship was exposed to strong south-easterly winds in cawsand bay which, together with pitching owing to her light condition and the swell, increased the loading on her cable and anchorthe oow did not start the main engine until ordered to do so by the masterthe overall speed at which the anchor was dragged, limited the time available in which to take corrective action to about 16 minutes"
698,"on 2 november 1998 pescalanza (pz 744), a spanish owned 32 metre fishing vessel, was 82 miles south-west of mizen head in ireland. the vessel was fishing when it capsized and sank in the rough seas. 12 people were on board; six were recovered alive by another fishing vessel, along with four deceased. two persons were not found.",the entrapment of water on board during net retrieval operations when the vessel was most vulnerable and beam on to the seait is probable that water was trapped between the shelter deck and the main deck on the port side and downflooded through an open door to the engine room,"82 miles south-west of Mizen Head, Republic of Ireland",Capsize and sinking of side trawler Pescalanza with loss of 6 lives,2 November 1998,0,0,0,0,1,0,0,0,0,0,0,"Summary: on 2 november 1998 pescalanza (pz 744), a spanish owned 32 metre fishing vessel, was 82 miles south-west of mizen head in ireland. the vessel was fishing when it capsized and sank in the rough seas. 12 people were on board; six were recovered alive by another fishing vessel, along with four deceased. two persons were not found. Safety Issues: the entrapment of water on board during net retrieval operations when the vessel was most vulnerable and beam on to the seait is probable that water was trapped between the shelter deck and the main deck on the port side and downflooded through an open door to the engine room"
699,"at 1146 on 19 july 2005, one of the largest container vessels in the world, the german flagged, 94483 gross tonne savannah express made heavy contact with a linkspan at 201 berth, southampton docks. the vessel had lost astern engine power entering the upper swinging ground where she was due to swing before going alongside.","three out of four suction pressure sensors for the four main hydraulic pumps had failed before savannah express reached singapore, due to hydraulic pressure fluctuations, or pulses. only one spare sensor had been carried, and the availability of further sensors was limited due to supply problemsthe chief engineer had been informed by the engine manufacturer’s service engineer in singapore that the loss of all four sensors would not cause an engine shutdown. he was therefore content for the vessel to sail with only one operational sensoras savannah express approached the nab tower, number four hydraulic pump suction pressure sensor failed. without any suction pressure indication, the ecs caused the engine to shutdown to protect the pumps from potential damagethe chief engineer had limited understanding of the ecs","Southampton Docks, England",Engine failure on container vessel Savannah Express and subsequent contact with linkspan,19 July 2005,1,0,0,0,1,0,0,0,1,0,1,"Summary: at 1146 on 19 july 2005, one of the largest container vessels in the world, the german flagged, 94483 gross tonne savannah express made heavy contact with a linkspan at 201 berth, southampton docks. the vessel had lost astern engine power entering the upper swinging ground where she was due to swing before going alongside. Safety Issues: three out of four suction pressure sensors for the four main hydraulic pumps had failed before savannah express reached singapore, due to hydraulic pressure fluctuations, or pulses. only one spare sensor had been carried, and the availability of further sensors was limited due to supply problemsthe chief engineer had been informed by the engine manufacturer’s service engineer in singapore that the loss of all four sensors would not cause an engine shutdown. he was therefore content for the vessel to sail with only one operational sensoras savannah express approached the nab tower, number four hydraulic pump suction pressure sensor failed. without any suction pressure indication, the ecs caused the engine to shutdown to protect the pumps from potential damagethe chief engineer had limited understanding of the ecs"
700,"early in the morning on 21 november 2020, the scallop dredger joanna c capsized south of newhaven, england; only one of the three crew survived. joanna c’s crew was hauling the gear when they noticed that the starboard dredge bar had become snagged on a line of whelk pots. the snag caused a heel to starboard from which the vessel could not recover, and it capsized rapidly. the maib’s investigation found that through-life modifications, culminating in extensive alterations in 2019, had reduced joanna c’s previously good stability to a state where it had very low reserves of positive stability and increased vulnerability to capsize. the detrimental effect of the modifications was unknown to the crew and regulator alike because, although a stability assessment had begun after the 2019 modifications, the analysis was never completed, and the vessel was free to continue operation. during the capsize joanna c’s mate was thrown into the water and the skipper later managed to escape as the inverted vessel sank; however, the deckhand remained trapped inside. the vessel’s liferaft did not inflate during the accident because the uninflated liferaft had insufficient buoyancy to initiate the inflation mechanism. the absence of a liferaft adversely affected the survivability of the crew in the sea after the vessel sank.","reserves of stability are critical to allow fishing vessels to operate safely and ensure recovery back to upright from a heel induced by the environmental conditions or a snagging. joanna c’s very low margin of positive stability left the vessel extremely vulnerable to capsize.liferafts fitted for ‘float-free’ operation must have sufficient buoyancy in the uninflated state to activate the inflation mechanism. although a buoyancy standard existed for larger solas liferafts there was no corresponding requirement for smaller, non-solas liferafts such as those fitted to fishing vessels.","South of Newhaven, England",Capsize and sinking of scallop dredger Joanna C with loss of 2 lives,21 November 2020,0,0,0,0,1,0,0,0,0,0,0,"Summary: early in the morning on 21 november 2020, the scallop dredger joanna c capsized south of newhaven, england; only one of the three crew survived. joanna c’s crew was hauling the gear when they noticed that the starboard dredge bar had become snagged on a line of whelk pots. the snag caused a heel to starboard from which the vessel could not recover, and it capsized rapidly. the maib’s investigation found that through-life modifications, culminating in extensive alterations in 2019, had reduced joanna c’s previously good stability to a state where it had very low reserves of positive stability and increased vulnerability to capsize. the detrimental effect of the modifications was unknown to the crew and regulator alike because, although a stability assessment had begun after the 2019 modifications, the analysis was never completed, and the vessel was free to continue operation. during the capsize joanna c’s mate was thrown into the water and the skipper later managed to escape as the inverted vessel sank; however, the deckhand remained trapped inside. the vessel’s liferaft did not inflate during the accident because the uninflated liferaft had insufficient buoyancy to initiate the inflation mechanism. the absence of a liferaft adversely affected the survivability of the crew in the sea after the vessel sank. Safety Issues: reserves of stability are critical to allow fishing vessels to operate safely and ensure recovery back to upright from a heel induced by the environmental conditions or a snagging. joanna c’s very low margin of positive stability left the vessel extremely vulnerable to capsize.liferafts fitted for ‘float-free’ operation must have sufficient buoyancy in the uninflated state to activate the inflation mechanism. although a buoyancy standard existed for larger solas liferafts there was no corresponding requirement for smaller, non-solas liferafts such as those fitted to fishing vessels."
